Código,Espécie,Local de pouso,Local de pouso,Sexo,Data da captura,Hora de captura,Temperatura (°C),Umidade (%),Localidade,Latitude,Longitude,Ambiente,Mês,Armadilha,Coletadores,Observações Augusto
PTC 093,Tabanus occidentalis,6 D,Perna dianteira,F,19.vii.2019,7:46,"22,9",99,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 094,Tabanus occidentalis,6 D,Perna dianteira,F,19.vii.2019,10:40,26,92,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 095,Tabanus pungens,6 E,Perna dianteira,F,19.vii.2019,10:44,26,91,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 096,Tabanus occidentalis var. modestus,6 D,Perna dianteira,F,19.vii.2019,12:24,"26,8",89,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 097,Tabanus antarcticus,7 D,Perna traseira,F,19.vii.2019,12:36,"26,6",89,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 098,Tabanus occidentalis var. modestus,6 E,Perna dianteira,F,19.vii.2019,14:44,"26,8",84,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Agosto,Cavalo com puçá,MARLON,
PTC 099,Tabanus occidentalis var. modestus,6 E,Perna dianteira,F,19.vii.2019,14:46,"26,8",83,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Agosto,Cavalo com puçá,MARLON,
PTC 100,Stypommisa aripuana,16 E,Perna traseira,F,19.vii.2019,14:50,"26,7",86,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Agosto,Cavalo com puçá,MARLON,
PTC 101,Tabanus occidentalis,18 E,Perna traseira,F,19.vii.2019,14:59,"26,8",81,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Agosto,Cavalo com puçá,MARLON,
PTC 102,Stypommisa aripuana,6 E,Perna dianteira,F,19.vii.2019,15:03,"26,8",81,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Agosto,Cavalo com puçá,MARLON,
PTC 103,Tabanus occidentalis,6 D,Perna dianteira,F,19.vii.2019,15:08,"27,1",81,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Agosto,Cavalo com puçá,MARLON,
PTC 104,Stypommisa aripuana,17 E,Perna traseira,F,19.vii.2019,15:29,29,72,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Agosto,Cavalo com puçá,MARLON,
PTC 105,Tabanus occidentalis,18 E,Perna traseira,F,19.vii.2019,15:32,"29,1",75,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Agosto,Cavalo com puçá,MARLON,
PTC 106,Tabanus occidentalis var. dorsovittatus,16 D,Perna traseira,F,19.vii.2019,15:40,"28,7",74,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Agosto,Cavalo com puçá,MARLON,
PTC 107,Tabanus occidentalis var. modestus,6 D,Perna dianteira,F,19.vii.2019,16:20,28,80,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Agosto,Cavalo com puçá,MARLON,
PTC 108,Stypommisa aripuana,6 E,Perna dianteira,F,19.vii.2019,16:30,"28,1",79,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 109,Tabanus antarcticus,6 D,Perna dianteira,F,19.vii.2019,16:47,"27,9",81,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 110,Stypommisa aripuana,6 E,Perna dianteira,F,19.vii.2019,17:27,27,82,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 111,Chrysops varians,1 C,Orelha,F,19.vii.2019,17:33,"26,9",84,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 112,Tabanus antarcticus,7 D,Perna traseira,F,20.vii.2019,7:30,"22,1",98,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Agosto,Cavalo com puçá,MARLON,
PTC 113,Tabanus occidentalis,6 E,Perna dianteira,F,20.vii.2019,9:41,"24,2",92,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Agosto,Cavalo com puçá,MARLON,
PTC 114,Tabanus occidentalis var. modestus,16 E,Perna traseira,F,20.vii.2019,10:43,"26,3",85,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 115,Tabanus occidentalis var. modestus,18 D,Perna traseira,F,20.vii.2019,11:17,"29,6",68,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 116,Stypommisa aripuana,18 D,Perna traseira,F,20.vii.2019,11:22,"31,6",59,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 117,Tabanus occidentalis var. dorsovittatus,16 D,Perna traseira,F,20.vii.2019,11:33,"31,1",61,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Agosto,Cavalo com puçá,MARLON,
PTC 118,Stypommisa aripuana,18 E,Perna traseira,F,20.vii.2019,12:20,"31,6",53,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Agosto,Cavalo com puçá,MARLON,
PTC 119,Tabanus occidentalis var. dorsovittatus,18 E,Perna traseira,F,20.vii.2019,12:46,"30,9",66,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Agosto,Cavalo com puçá,MARLON,
PTC 120,Stypommisa aripuana,6 D,Perna dianteira,F,20.vii.2019,13:05,"33,2",54,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 121,Stypommisa aripuana,7 D,Perna traseira,F,20.vii.2019,13:24,34,45,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Agosto,Cavalo com puçá,MARLON,
PTC 122,Tabanus humboldti,7 E,Perna traseira,F,20.vii.2019,14:50,"32,2",43,P5-Neucivaldo,10°06’21.4”S ,63°16’55.7”W,Mata beira do rio,Agosto,Cavalo com puçá,MARLON,
