Código,Espécie,Sexo,Localidade,Latitude,Longitude,Ambiente,Armadilha,Condição da armadilha,Mês,Data de ligação,Data de reposição do álcool,Data de retirada,Temperatura média (°C),Umidade média (%),Velocidade do vento média (m/s),Chuva média (mm),Pressão média (hPa),Pto. Orvalho média (°C)
TabRO 0060,Tabanus pungens,F,P4 - Paulo Vicentino,10°12’53.41”S ,63°19’25.59”W,Pasto,Malaise,Preservada,Julho,3 de julho de 2019,5 de julho de 2019,8 de julho de 2019,24.25,73.55,Não consta no inpe,0,999.19,18.6
TabRO 0061,Chrysops variegatus,F,P4 - Paulo Vicentino,10°12’53.41”S ,63°19’25.59”W,Pasto,Malaise,Preservada,Julho,3 de julho de 2019,5 de julho de 2019,8 de julho de 2019,24.25,73.55,Não consta no inpe,0,999.19,18.6
TabRO 0062,Pityocera pernaquila,F,P4 - Paulo Vicentino,10°12’53.41”S ,63°19’25.59”W,Mata,Malaise,Preservada,Julho,3 de julho de 2019,5 de julho de 2019,8 de julho de 2019,24.25,73.55,Não consta no inpe,0,999.19,18.6
TabRO 0063,Tabanus antarcticus,F,P4 - Paulo Vicentino,10°12’53.41”S ,63°19’25.59”W,Mata,Malaise,Preservada,Julho,3 de julho de 2019,5 de julho de 2019,8 de julho de 2019,24.25,73.55,Não consta no inpe,0,999.19,18.6
TabRO 0064,Tabanus antarcticus,F,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Pasto,Nzi,Preservada,Julho,3 de julho de 2019,5 de julho de 2019,8 de julho de 2019,24.25,73.55,Não consta no inpe,0,999.19,18.6
TabRO 0065,Tabanus rubripes,F,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Pasto,Nzi,Preservada,Julho,3 de julho de 2019,5 de julho de 2019,8 de julho de 2019,24.25,73.55,Não consta no inpe,0,999.19,18.6
TabRO 0066,Pityocera pernaquila,F,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Pasto,Nzi,Preservada,Julho,3 de julho de 2019,5 de julho de 2019,8 de julho de 2019,24.25,73.55,Não consta no inpe,0,999.19,18.6
TabRO 0067,Pityocera pernaquila,F,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Pasto,Nzi,Preservada,Julho,3 de julho de 2019,5 de julho de 2019,8 de julho de 2019,24.25,73.55,Não consta no inpe,0,999.19,18.6
TabRO 0068,Tabanus occidentalis var. dorsovittatus,F,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Mata,Malaise,Preservada,Julho,3 de julho de 2019,5 de julho de 2019,8 de julho de 2019,24.25,73.55,Não consta no inpe,0,999.19,18.6
TabRO 0069,Tabanus piceiventris,F,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Mata,Malaise,Preservada,Julho,3 de julho de 2019,5 de julho de 2019,8 de julho de 2019,24.25,73.55,Não consta no inpe,0,999.19,18.6
TabRO 0070,Leucotabanus exaestuans,F,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Mata,Malaise,Preservada,Julho,3 de julho de 2019,5 de julho de 2019,8 de julho de 2019,24.25,73.55,Não consta no inpe,0,999.19,18.6
